video_path,label,split
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1660.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1194.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1832.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1990.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2134.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\321.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\682.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1447.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2917.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2400.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\952.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\972.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1651.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1931.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3848.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\637.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2630.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2781.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\747.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2812.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1353.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\462.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\288.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1700.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2306.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3918.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2084.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3626.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\574.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3712.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2075.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2337.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1537.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\918.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3980.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1999.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1502.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2853.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3686.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\14.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1407.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\808.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1835.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2954.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\892.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2894.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\956.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1003.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1753.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1298.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\894.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2591.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1509.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2047.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1014.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2197.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2900.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\213.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\443.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1496.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1479.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1256.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2523.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2329.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\420.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1062.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\508.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\967.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1245.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2159.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\811.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2521.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2464.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2053.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2636.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\272.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2394.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2422.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1819.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\83.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2932.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2969.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2568.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2296.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1337.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\0.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2765.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2458.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1358.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2926.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3676.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2964.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2056.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\690.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1047.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\555.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2225.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1654.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3003.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\919.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\392.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3742.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1719.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1658.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2224.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2268.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1015.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1450.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2432.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1885.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1025.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1745.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3758.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\767.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\602.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2757.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1690.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\446.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3853.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\615.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\175.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2971.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\195.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2150.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\993.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2913.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3806.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1996.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\624.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1551.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1956.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\465.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1128.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\986.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3011.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\185.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2005.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\3972.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2228.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\103.mp4,0,train
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2642.mp4,0,train
