video_path,Sv,Sl,Sb,Sh,Sa,Sf_pipeline
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1660.mp4,0.43818358997149126,0.5,0.5,0.5,0.034952014684677124,0.4024254176898726
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1194.mp4,0.4199696232875188,0.6237390555392068,0.9776459455733088,0.15563218776704305,0.0402512289583683,0.41942082259926466
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1832.mp4,0.42024718369955216,0.0,0.9970679854030446,0.12251032675783492,0.015471912920475006,0.4027292212156627
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1990.mp4,0.4088967719817544,0.7673130091135842,0.9756810997853992,0.0727945407124574,0.01481061615049839,0.4052059567980591
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2134.mp4,0.4200418968813135,0.5,0.9874181509405051,0.08484261027553645,0.025855757296085358,0.3934777273328343
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\321.mp4,0.4219128906221713,0.8533910363049013,0.9924320744433786,0.08927406348244636,0.028902240097522736,0.3981455446794113
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\682.mp4,0.43534150144510103,0.5,0.5,0.5,0.016353338956832886,0.3983566764938204
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\1447.mp4,0.4129856374292147,0.5,0.5,0.5,0.03641357272863388,0.39130557275244165
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2917.mp4,0.41407286512180114,0.0,0.5,0.5,0.04608673229813576,0.3932457991495309
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\2400.mp4,0.4075534038543701,0.0,0.9804307718364962,0.05460174831070898,0.05596696585416794,0.38505742973363416
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\952.mp4,0.41890138248705494,0.8132171983360853,0.9852136448811278,0.08307686465226691,0.03897155076265335,0.3886718444419876
C:\Users\busra\Desktop\projeler\df\df_video\AVLips v1.0\AVLips\0_real\972.mp4,0.4091803003441204,0.5,0.9845019918719237,0.08246344976980213,0.03759103640913963,0.3964663347803978
